order_id,product_id,supplier_id,quantity,order_date,delivery_date,status,delay_days,is_delayed
1,3,1,40,2025-07-03,2025-07-07,Shipped,39,1
2,7,4,15,2025-07-06,2025-07-11,Delivered,35,1
3,2,2,25,2025-07-01,2025-07-06,Pending,40,1
4,10,5,10,2025-07-10,2025-07-14,Cancelled,32,1
5,1,3,50,2025-07-02,2025-07-07,Delivered,39,1
6,8,8,20,2025-07-07,2025-07-12,Pending,34,1
7,5,6,35,2025-07-05,2025-07-09,Delivered,37,1
8,9,10,60,2025-07-08,2025-07-13,Shipped,33,1
9,6,7,100,2025-07-04,2025-07-08,Delivered,38,1
10,4,9,12,2025-07-09,2025-07-15,Delivered,31,1
